AST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees
2015-6-14,32,30,27,26,24,24,84,76,61,1014,1012,1010,19,12,10,48,35,50,0.00,3,,80
2015-6-15,32,29,27,26,24,24,89,77,63,1014,1012,1010,14,11,10,45,35,63,0.00,2,,78
2015-6-16,32,29,27,26,25,24,89,78,62,1014,1012,1009,19,12,10,52,34,71,0.00,2,,81
2015-6-17,32,29,27,26,25,24,84,78,62,1013,1012,1010,19,12,10,47,39,69,0.00,2,,82
2015-6-18,32,30,27,26,25,24,84,78,63,1014,1012,1010,19,10,9,50,37,66,0.00,2,,80
2015-6-19,32,30,27,26,25,24,89,79,66,1014,1012,1010,10,9,9,45,37,58,0.00,2,,79
2015-6-20,32,29,27,26,24,24,84,77,62,1015,1013,1011,11,9,8,42,32,61,0.00,1,,80
2015-6-21,32,29,26,26,24,16,84,75,28,1016,1014,1012,11,10,10,40,31,61,0.00,1,,79
2015-6-22,32,29,26,26,25,24,94,81,66,1014,1013,1011,31,13,10,42,32,61,1.02,2,Rain,77
2015-6-23,31,29,27,26,25,24,89,81,68,1015,1013,1011,31,15,10,47,34,64,0.00,2,Thunderstorm,84
2015-6-24,32,29,26,26,25,24,89,77,61,1015,1014,1011,31,15,10,52,37,66,0.00,2,,88
2015-6-25,32,29,27,26,24,24,84,76,62,1015,1014,1012,31,12,10,48,39,69,0.00,2,,82
2015-6-26,32,29,26,26,24,24,89,78,63,1015,1014,1012,14,11,10,48,35,66,0.00,1,,82
2015-6-27,32,29,27,26,25,24,89,81,66,1015,1013,1011,18,11,10,42,37,63,0.00,2,,86
2015-6-28,31,28,26,26,25,24,94,82,73,1015,1013,1012,19,12,10,42,35,60,4.06,2,Rain,85
2015-6-29,32,29,27,26,25,24,89,79,63,1016,1014,1012,26,13,10,45,34,66,0.25,2,Rain,78
2015-6-30,31,29,27,25,24,23,89,80,69,1015,1014,1012,31,14,10,37,29,50,0.51,2,,83
2015-7-1,32,29,26,26,25,24,89,80,64,1015,1013,1011,26,13,10,42,31,60,0.00,2,,88
2015-7-2,32,29,27,26,24,24,84,77,62,1014,1013,1010,26,13,10,47,34,66,1.02,1,Rain,80
2015-7-3,32,29,26,26,25,24,89,80,62,1013,1012,1009,26,14,10,45,34,63,1.02,3,Rain,79
