CET,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees
2015-6-21,19,14,11,10,8,6,94,64,30,1017,1015,1012,31,14,10,19,13,,0.00,5,Rain,262
2015-6-22,18,16,13,13,11,7,94,75,37,1012,1008,1003,31,13,6,24,11,,0.76,7,Rain,220
2015-6-23,13,12,10,12,11,9,100,93,84,1012,1006,1002,31,10,5,26,11,,7.87,7,Rain,260
2015-6-24,16,12,9,11,9,8,100,78,52,1022,1018,1012,31,13,6,26,16,,0.00,6,Rain,261
2015-6-25,23,17,11,12,9,7,88,59,26,1023,1022,1021,31,12,10,19,10,,0.00,6,Rain,248
2015-6-26,23,19,14,15,12,11,82,63,40,1021,1019,1016,31,16,10,13,3,,0.25,7,Rain,288
2015-6-27,22,19,16,18,16,14,100,82,55,1017,1014,1012,27,12,6,14,6,,6.10,6,Rain,227
2015-6-28,22,18,13,16,11,7,94,63,29,1021,1020,1016,31,15,10,21,14,,0.00,5,,296
2015-6-29,26,21,15,14,11,8,88,53,23,1021,1020,1018,31,14,10,18,5,,0.00,6,Rain,279
2015-6-30,25,21,17,15,11,7,82,51,22,1023,1021,1020,31,17,10,21,10,35,0.00,4,,343
2015-7-1,27,21,14,12,9,6,82,46,17,1025,1023,1022,,,,14,8,,0.00,,,76
2015-7-2,30,23,17,13,11,9,73,42,19,1026,1024,1023,,,,26,13,40,0.00,,,94
2015-7-3,34,27,19,12,11,9,56,34,14,1025,1024,1022,10,10,10,19,13,,0.00,6,,119
2015-7-4,37,30,22,23,13,8,89,34,14,1024,1020,1017,31,22,10,14,10,,1.02,6,Rain-Thunderstorm,146
2015-7-5,36,28,21,22,16,13,88,46,18,1020,1016,1011,31,20,10,32,10,32,4.06,6,Rain-Thunderstorm,303
2015-7-6,25,21,17,20,14,8,100,63,25,1020,1017,1012,31,14,9,32,13,,0.00,5,Rain-Thunderstorm,278
2015-7-7,32,23,14,19,11,7,94,50,12,1019,1012,1002,19,12,10,40,6,63,3.05,6,Rain-Thunderstorm,195
2015-7-8,23,20,17,18,13,6,94,65,26,1009,1006,1002,31,16,6,40,21,55,0.00,6,Rain-Thunderstorm,251
2015-7-9,18,16,12,13,8,2,100,60,29,1018,1012,1008,31,11,8,45,26,64,0.00,4,Rain,274
2015-7-10,19,16,11,7,6,3,72,51,25,1020,1019,1018,10,10,10,32,24,45,0.00,6,,285
2015-7-11,21,15,9,10,8,6,88,56,26,1020,1018,1016,31,12,10,14,6,,0.00,2,,310
2015-7-12,25,19,13,16,12,9,94,67,30,1016,1015,1014,31,13,8,26,6,45,0.25,7,Rain,252
2015-7-13,22,18,15,16,15,14,100,89,54,1015,1014,1013,27,10,5,29,18,,3.05,7,Rain,269
2015-7-14,19,17,14,18,16,14,100,92,73,1015,1013,1012,31,10,2,13,6,,5.08,6,Rain,278
2015-7-15,23,19,14,16,13,10,100,68,33,1019,1017,1015,26,12,10,21,11,,0.00,3,Fog,288
2015-7-16,26,21,16,17,13,10,78,60,36,1019,1017,1017,31,15,10,14,8,,0.00,5,Rain,333
2015-7-17,32,24,16,17,14,13,88,55,22,1017,1014,1011,31,28,10,19,8,,0.00,,Rain,127
2015-7-18,27,23,18,18,14,9,88,58,28,1016,1014,1011,31,13,10,23,8,,0.00,5,Rain-Thunderstorm,313
2015-7-19,20,18,14,17,14,11,100,78,53,1016,1010,1007,31,14,2,26,10,,19.05,6,Rain-Thunderstorm,2
2015-7-20,24,19,14,15,11,8,100,60,26,1014,1012,1009,31,13,10,29,16,,0.00,3,,281
2015-7-21,28,22,17,22,15,10,89,59,30,1014,1012,1011,31,13,10,35,11,,1.02,5,Rain,256
2015-7-22,29,23,18,18,16,12,78,57,36,1014,1013,1011,10,10,10,19,6,,3.05,6,Rain,266
2015-7-23,25,20,16,18,13,10,100,64,33,1017,1014,1011,31,13,5,23,13,,0.00,5,Rain-Thunderstorm,294
2015-7-24,26,20,14,13,12,9,94,56,26,1017,1014,1009,31,20,10,18,6,,0.00,4,Fog-Rain,91
2015-7-25,28,22,16,18,12,6,88,54,19,1009,1003,1000,31,14,10,53,21,77,0.25,5,Rain-Thunderstorm,203
2015-7-26,21,17,13,12,8,4,94,57,25,1013,1010,1005,31,12,6,48,32,66,0.00,5,Rain,255
2015-7-27,22,18,13,15,11,6,94,66,40,1008,1003,1000,31,13,10,27,11,34,0.25,6,Rain-Thunderstorm,188
2015-7-28,20,18,15,15,12,9,94,69,40,1006,1003,1001,31,10,10,34,19,52,0.00,5,Rain,239
2015-7-29,21,17,13,11,8,4,77,54,22,1007,1006,1004,10,10,10,40,21,55,0.00,4,Rain,244
2015-7-30,21,17,13,9,8,6,72,55,32,1014,1010,1006,31,11,10,40,29,61,0.00,5,Rain,261
2015-7-31,19,14,9,9,7,4,94,61,30,1019,1017,1014,10,10,10,23,16,,0.00,6,,282
2015-8-1,26,17,8,10,7,5,100,53,17,1020,1017,1015,10,10,10,16,5,,0.00,,Fog,83
2015-8-2,29,21,13,12,8,4,82,43,13,1020,1018,1017,31,20,10,14,6,,0.00,,,328
2015-8-3,32,23,14,13,11,8,82,43,15,1020,1018,1016,31,31,31,14,8,,0.00,,,79
2015-8-4,34,27,19,19,13,11,94,43,14,1017,1013,1009,31,24,10,29,11,,0.51,6,Rain,141
